n,t_seconds,measured_value
289,0.0867,4.1093
290,0.087,4.0861
291,0.0873,4.159
292,0.0876,4.1522
293,0.0879,4.1564
294,0.0882,4.1566
295,0.0885,4.1505
296,0.0888,4.1577
297,0.0891,4.1535
298,0.0894,4.1595
299,0.0897,4.1696
300,0.09,4.2037
301,0.0903,4.1896
302,0.0906,4.1822
303,0.0909,4.1767
304,0.0912,4.1804
305,0.0915,4.23
306,0.0918,4.2129
307,0.0921,4.2089
308,0.0924,4.2053
309,0.0927,4.1948
310,0.093,4.2203
311,0.0933,4.2438
312,0.0936,4.2231
313,0.0939,4.231
314,0.0942,4.2357
315,0.0945,4.2468
316,0.0948,4.2173
317,0.0951,4.2489
318,0.0954,4.241
319,0.0957,4.2802
320,0.096,4.2516
321,0.0963,4.2829
322,0.0966,4.3062
323,0.0969,4.2738
324,0.0972,4.2723
325,0.0975,4.2925
326,0.0978,4.2928
327,0.0981,4.2772
328,0.0984,4.3105
329,0.0987,4.3458
330,0.099,4.3045
331,0.0993,4.3097
332,0.0996,4.297
333,0.0999,4.3284
334,0.1002,4.3011
335,0.1005,4.3079
336,0.1008,4.3597
337,0.1011,4.3199
338,0.1014,4.3636
339,0.1017,4.3764
340,0.102,4.355
341,0.1023,4.3648
342,0.1026,4.3967
343,0.1029,4.3575
344,0.1032,4.3534
345,0.1035,4.342
346,0.1038,4.3737
347,0.1041,4.4062
348,0.1044,4.3995
349,0.1047,4.3652
350,0.105,4.3706
351,0.1053,4.3813
352,0.1056,4.4009
353,0.1059,4.3945
354,0.1062,4.4065
355,0.1065,4.4117
356,0.1068,4.4034
357,0.1071,4.4121
358,0.1074,4.4205
359,0.1077,4.4182
360,0.108,4.4334
361,0.1083,4.4642
362,0.1086,4.4421
363,0.1089,4.4348
364,0.1092,4.4033
365,0.1095,4.4482
366,0.1098,4.4048
367,0.1101,4.4189
368,0.1104,4.4675
369,0.1107,4.4678
370,0.111,4.454
371,0.1113,4.426
372,0.1116,4.456
373,0.1119,4.4531
374,0.1122,4.4826
375,0.1125,4.5182
376,0.1128,4.4805
377,0.1131,4.4637
378,0.1134,4.459
379,0.1137,4.4844
380,0.114,4.485
381,0.1143,4.4686
382,0.1146,4.497
383,0.1149,4.4747
384,0.1152,4.5229
385,0.1155,4.5249
386,0.1158,4.5284
387,0.1161,4.5001
388,0.1164,4.5228
389,0.1167,4.5128
390,0.117,4.5106
391,0.1173,4.5145
392,0.1176,4.4981
393,0.1179,4.4981
394,0.1182,4.5457
395,0.1185,4.5288
396,0.1188,4.5397
397,0.1191,4.5582
398,0.1194,4.5063
399,0.1197,4.528
400,0.12,4.5499
401,0.1203,4.557
402,0.1206,4.5443
403,0.1209,4.5751
404,0.1212,4.5614
405,0.1215,4.5355
406,0.1218,4.5438
407,0.1221,4.5812
408,0.1224,4.5769
409,0.1227,4.5323
410,0.123,4.5998
411,0.1233,4.5873
412,0.1236,4.6048
413,0.1239,4.5728
414,0.1242,4.577
415,0.1245,4.5629
416,0.1248,4.6387
417,0.1251,4.5869
418,0.1254,4.6246
419,0.1257,4.5823
420,0.126,4.601
421,0.1263,4.5667
422,0.1266,4.5948
423,0.1269,4.6246
424,0.1272,4.5822
425,0.1275,4.631
426,0.1278,4.6187
427,0.1281,4.5934
428,0.1284,4.6065
429,0.1287,4.6097
430,0.129,4.6201
431,0.1293,4.6127
432,0.1296,4.6091
433,0.1299,4.6218
434,0.1302,4.6096
435,0.1305,4.6065
436,0.1308,4.6336
437,0.1311,4.6544
438,0.1314,4.6083
439,0.1317,4.6411
440,0.132,4.6302
441,0.1323,4.6258
442,0.1326,4.6645
443,0.1329,4.6392
444,0.1332,4.6816
445,0.1335,4.6381
446,0.1338,4.6635
447,0.1341,4.6533
448,0.1344,4.6448
449,0.1347,4.6737
450,0.135,4.6609
451,0.1353,4.678
452,0.1356,4.667
453,0.1359,4.6483
454,0.1362,4.6699
455,0.1365,4.6749
456,0.1368,4.695
457,0.1371,4.6597
458,0.1374,4.6789
459,0.1377,4.6472
460,0.138,4.6966
461,0.1383,4.6638
462,0.1386,4.6512
463,0.1389,4.688
464,0.1392,4.7132
465,0.1395,4.6624
466,0.1398,4.673
467,0.1401,4.6817
468,0.1404,4.6758
469,0.1407,4.7078
470,0.141,4.6858
471,0.1413,4.6893
472,0.1416,4.7172
473,0.1419,4.6922
474,0.1422,4.7177
475,0.1425,4.6914
476,0.1428,4.6883
477,0.1431,4.6775
478,0.1434,4.7532
479,0.1437,4.7112
480,0.144,4.7242
481,0.1443,4.7204
482,0.1446,4.7259
483,0.1449,4.7253
484,0.1452,4.7641
485,0.1455,4.7068
486,0.1458,4.6981
487,0.1461,4.7106
488,0.1464,4.7058
489,0.1467,4.749
490,0.147,4.7521
491,0.1473,4.718
492,0.1476,4.711
493,0.1479,4.7333
494,0.1482,4.7698
495,0.1485,4.6871
496,0.1488,4.7556
497,0.1491,4.725
498,0.1494,4.7689
499,0.1497,4.728
500,0.15,4.7454
501,0.1503,4.7224
502,0.1506,4.7345
503,0.1509,4.7832
504,0.1512,4.7734
505,0.1515,4.7504
506,0.1518,4.7425
507,0.1521,4.7234
508,0.1524,4.7549
509,0.1527,4.7635
510,0.153,4.7639
511,0.1533,4.7651
512,0.1536,4.7459
513,0.1539,4.7684
514,0.1542,4.7703
515,0.1545,4.7983
516,0.1548,4.8112
517,0.1551,4.7725
518,0.1554,4.7612
519,0.1557,4.7766
520,0.156,4.7671
521,0.1563,4.7657
522,0.1566,4.7807
523,0.1569,4.7623
524,0.1572,4.7966
525,0.1575,4.7837
526,0.1578,4.792
527,0.1581,4.7846
528,0.1584,4.775
529,0.1587,4.7719
530,0.159,4.7873
531,0.1593,4.7823
532,0.1596,4.7992
533,0.1599,4.7957
534,0.1602,4.7698
535,0.1605,4.7996
536,0.1608,4.7726
537,0.1611,4.7883
538,0.1614,4.7959
539,0.1617,4.7615
540,0.162,4.806
541,0.1623,4.8084
542,0.1626,4.8034
543,0.1629,4.7992
544,0.1632,4.8014
545,0.1635,4.7904
546,0.1638,4.8057
547,0.1641,4.8012
548,0.1644,4.8152
549,0.1647,4.7904
550,0.165,4.8203
551,0.1653,4.8196
552,0.1656,4.815
553,0.1659,4.8101
554,0.1662,4.831
555,0.1665,4.7877
556,0.1668,4.8313
557,0.1671,4.828
558,0.1674,4.8299
559,0.1677,4.8329
560,0.168,4.8133
561,0.1683,4.8222
562,0.1686,4.8411
563,0.1689,4.838
564,0.1692,4.8346
565,0.1695,4.8012
566,0.1698,4.8432
567,0.1701,4.8569
568,0.1704,4.8547
569,0.1707,4.8401
570,0.171,4.8053
571,0.1713,4.8563
572,0.1716,4.8354
573,0.1719,4.7887
574,0.1722,4.8479
575,0.1725,4.8114
576,0.1728,4.8163
577,0.1731,4.8305
578,0.1734,4.8696
579,0.1737,4.8376
580,0.174,4.8514
581,0.1743,4.8818
582,0.1746,4.8797
583,0.1749,4.8466
584,0.1752,4.8448
585,0.1755,4.8253
586,0.1758,4.8375
587,0.1761,4.8608
588,0.1764,4.8611
589,0.1767,4.8563
590,0.177,4.8748
591,0.1773,4.8404
592,0.1776,4.8555
593,0.1779,4.8721
594,0.1782,4.8701
595,0.1785,4.8806
596,0.1788,4.868
597,0.1791,4.8547
598,0.1794,4.869
599,0.1797,4.8425
600,0.18,4.8306
601,0.1803,4.8758
602,0.1806,4.8639
603,0.1809,4.872
604,0.1812,4.8327
605,0.1815,4.8601
606,0.1818,4.8562
607,0.1821,4.8517
608,0.1824,4.8247
609,0.1827,4.8639
610,0.183,4.8893
611,0.1833,4.8797
612,0.1836,4.8609
613,0.1839,4.8733
614,0.1842,4.8895
615,0.1845,4.8199
616,0.1848,4.8734
617,0.1851,4.8875
618,0.1854,4.891
619,0.1857,4.9121
620,0.186,4.9015
621,0.1863,4.8858
622,0.1866,4.8863
623,0.1869,4.8967
624,0.1872,4.8709
625,0.1875,4.8816
626,0.1878,4.9012
627,0.1881,4.923
628,0.1884,4.8813
629,0.1887,4.8842
630,0.189,4.8899
631,0.1893,4.9134
632,0.1896,4.8866
633,0.1899,4.9173
634,0.1902,4.8693
635,0.1905,4.8855
636,0.1908,4.886
637,0.1911,4.9063
638,0.1914,4.9121
639,0.1917,4.8617
640,0.192,4.8742
641,0.1923,4.8999
642,0.1926,4.8806
643,0.1929,4.864
644,0.1932,4.9159
645,0.1935,4.9056
646,0.1938,4.9062
647,0.1941,4.8874
648,0.1944,4.9181
649,0.1947,4.8934
650,0.195,4.9207
651,0.1953,4.8812
652,0.1956,4.8829
653,0.1959,4.9047
654,0.1962,4.8871
655,0.1965,4.9153
656,0.1968,4.9076
657,0.1971,4.8845
658,0.1974,4.905
659,0.1977,4.8971
660,0.198,4.923
661,0.1983,4.8926
662,0.1986,4.897
663,0.1989,4.9306
664,0.1992,4.9517
665,0.1995,4.9475
666,0.1998,4.9093
667,0.2001,4.913
668,0.2004,4.9398
669,0.2007,4.9072
670,0.201,4.8907
671,0.2013,4.9131
672,0.2016,4.9203
673,0.2019,4.8953
674,0.2022,4.8794
675,0.2025,4.8842
676,0.2028,4.9267
677,0.2031,4.8988
678,0.2034,4.9116
679,0.2037,4.9192
680,0.204,4.9278
681,0.2043,4.9093
682,0.2046,4.9264
683,0.2049,4.8992
684,0.2052,4.9102
685,0.2055,4.8975
686,0.2058,4.9411
687,0.2061,4.9184
688,0.2064,4.9046
689,0.2067,4.9129
690,0.207,4.916
691,0.2073,4.9349
692,0.2076,4.8894
693,0.2079,4.9011
694,0.2082,4.9147
695,0.2085,4.9734
696,0.2088,4.9423
697,0.2091,4.9214
698,0.2094,4.9384
699,0.2097,4.9657
700,0.21,4.9203
701,0.2103,4.9181
702,0.2106,4.9502
703,0.2109,4.9362
704,0.2112,4.9402
705,0.2115,4.9171
706,0.2118,4.9662
707,0.2121,4.9623
708,0.2124,4.9399
709,0.2127,4.9426
710,0.213,4.8888
711,0.2133,4.9426
712,0.2136,4.9263
713,0.2139,4.9393
714,0.2142,4.9447
715,0.2145,4.9246
716,0.2148,4.8981
717,0.2151,4.9397
718,0.2154,4.9179
719,0.2157,4.9265
720,0.216,4.9214
721,0.2163,4.9271
722,0.2166,4.8881
723,0.2169,4.959
724,0.2172,4.9401
725,0.2175,4.9577
726,0.2178,4.9754
727,0.2181,4.9367
728,0.2184,4.9006
729,0.2187,4.9191
730,0.219,4.9132
731,0.2193,4.9277
732,0.2196,4.9397
733,0.2199,4.8984
734,0.2202,4.9457
735,0.2205,4.909
736,0.2208,4.9455
737,0.2211,4.9378
738,0.2214,4.934
739,0.2217,4.9392
740,0.222,4.9302
741,0.2223,4.9291
742,0.2226,4.9081
743,0.2229,4.9415
744,0.2232,4.9793
745,0.2235,4.9824
746,0.2238,4.9695
747,0.2241,4.9576
748,0.2244,4.9303
749,0.2247,4.973
750,0.225,4.9433
751,0.2253,4.9434
752,0.2256,4.9393
753,0.2259,4.9473
754,0.2262,4.9371
755,0.2265,4.9444
756,0.2268,4.9247
757,0.2271,4.9393
758,0.2274,4.9927
759,0.2277,4.946
760,0.228,4.9429
761,0.2283,4.9587
762,0.2286,4.9625
763,0.2289,4.9263
764,0.2292,4.9448
765,0.2295,4.9676
766,0.2298,4.9549
767,0.2301,4.9523
768,0.2304,4.9812
769,0.2307,4.9369
770,0.231,4.9524
771,0.2313,4.9406
772,0.2316,4.9811
773,0.2319,4.9126
774,0.2322,4.9385
775,0.2325,4.9416
776,0.2328,4.9657
777,0.2331,4.9649
778,0.2334,4.9809
779,0.2337,4.9218
780,0.234,4.9686
781,0.2343,4.948
782,0.2346,4.9408
783,0.2349,4.9652
784,0.2352,4.9363
785,0.2355,4.9134
786,0.2358,4.9478
787,0.2361,4.9256
788,0.2364,4.9428
789,0.2367,4.9635
790,0.237,4.9625
791,0.2373,4.9883
792,0.2376,4.9528
793,0.2379,4.9264
794,0.2382,4.9422
795,0.2385,4.9392
796,0.2388,4.9335
797,0.2391,4.9668
798,0.2394,4.9454
799,0.2397,4.9191
800,0.24,4.9728
801,0.2403,4.9569
802,0.2406,4.9665
803,0.2409,4.9617
804,0.2412,4.9725
805,0.2415,4.9608
806,0.2418,4.985
807,0.2421,4.969
808,0.2424,4.9686
809,0.2427,4.9692
810,0.243,4.9321
811,0.2433,4.9582
812,0.2436,4.9565
813,0.2439,4.9661
814,0.2442,4.935
815,0.2445,4.9951
816,0.2448,4.9647
817,0.2451,4.9386
818,0.2454,4.9289
819,0.2457,4.9577
820,0.246,4.9617
821,0.2463,4.9494
822,0.2466,4.9658
823,0.2469,4.9513
824,0.2472,4.9754
825,0.2475,4.9501
826,0.2478,4.964
827,0.2481,4.9846
828,0.2484,5.0166
829,0.2487,4.9453
830,0.249,4.9563
831,0.2493,4.949
832,0.2496,4.9817
833,0.2499,4.9433
834,0.2502,4.9568
835,0.2505,4.9661
836,0.2508,4.9473
837,0.2511,4.9479
838,0.2514,4.9577
839,0.2517,4.9254
840,0.252,4.9387
841,0.2523,4.9596
842,0.2526,4.971
843,0.2529,4.9645
844,0.2532,4.9329
845,0.2535,4.9593
846,0.2538,4.9847
847,0.2541,4.9801
848,0.2544,4.9676
849,0.2547,4.9516
850,0.255,4.9821
851,0.2553,4.9581
852,0.2556,4.9465
853,0.2559,4.954
854,0.2562,4.9992
855,0.2565,4.9748
856,0.2568,4.9938
857,0.2571,4.9612
858,0.2574,4.9897
859,0.2577,4.9591
860,0.258,4.9681
861,0.2583,5.0212
862,0.2586,4.987
863,0.2589,4.9618
864,0.2592,4.9703
865,0.2595,4.9787
866,0.2598,4.9965
867,0.2601,4.9627
868,0.2604,4.9378
869,0.2607,4.9672
870,0.261,4.9733
871,0.2613,4.9753
872,0.2616,4.9996
873,0.2619,4.9798
874,0.2622,4.9899
875,0.2625,4.9517
876,0.2628,4.9913
877,0.2631,5.016
878,0.2634,4.9897
879,0.2637,4.9795
880,0.264,4.9776
881,0.2643,5.0104
882,0.2646,4.9563
883,0.2649,4.9728
884,0.2652,4.9843
885,0.2655,4.9902
886,0.2658,4.9667
887,0.2661,4.9817
888,0.2664,4.9702
889,0.2667,4.9783
890,0.267,4.9734
891,0.2673,4.9533
892,0.2676,4.9759
893,0.2679,4.994
894,0.2682,4.9572
895,0.2685,4.9719
896,0.2688,4.9902
897,0.2691,4.9556
898,0.2694,4.9808
899,0.2697,4.9561
900,0.27,5.0001
901,0.2703,5.0238
902,0.2706,5.0181
903,0.2709,4.9734
904,0.2712,4.9928
905,0.2715,4.9805
906,0.2718,4.9803
907,0.2721,5.0093
908,0.2724,4.9521
909,0.2727,4.9997
910,0.273,4.9778
911,0.2733,5.007
912,0.2736,4.9827
913,0.2739,4.9657
914,0.2742,4.9848
915,0.2745,4.9941
916,0.2748,4.9802
917,0.2751,4.9894
918,0.2754,4.9693
919,0.2757,4.9372
920,0.276,4.998
921,0.2763,4.9941
922,0.2766,4.9832
923,0.2769,4.9817
924,0.2772,5.0012
925,0.2775,4.9714
926,0.2778,4.9665
927,0.2781,4.977
928,0.2784,5.0047
929,0.2787,4.9533
930,0.279,5.005
931,0.2793,4.9685
932,0.2796,4.9593
933,0.2799,5.0067
934,0.2802,4.9796
935,0.2805,4.9557
936,0.2808,4.9746
937,0.2811,5.0005
938,0.2814,5.0059
939,0.2817,4.9736
940,0.282,4.9904
941,0.2823,4.9966
942,0.2826,4.9696
943,0.2829,4.9897
944,0.2832,4.982
945,0.2835,4.972
946,0.2838,4.973
947,0.2841,4.9843
948,0.2844,4.9837
949,0.2847,4.9719
950,0.285,4.9748
951,0.2853,5.0056
952,0.2856,4.9877
953,0.2859,5.0013
954,0.2862,5.0077
955,0.2865,4.9955
956,0.2868,5.0293
957,0.2871,4.9675
958,0.2874,5.0002
959,0.2877,4.9778
960,0.288,5.0214
961,0.2883,5.0183
962,0.2886,4.9453
963,0.2889,4.9651
964,0.2892,4.9979
965,0.2895,5.0005
966,0.2898,4.9995
967,0.2901,4.9835
968,0.2904,4.9941
969,0.2907,4.9981
970,0.291,4.9836
971,0.2913,5.0058
972,0.2916,4.9401
973,0.2919,4.9981
974,0.2922,4.9648
975,0.2925,5.0048
976,0.2928,4.9811
977,0.2931,4.968
978,0.2934,4.9933
979,0.2937,4.9677
980,0.294,4.9678
981,0.2943,4.9548
982,0.2946,4.9857
983,0.2949,4.9962
984,0.2952,5.0068
985,0.2955,4.9836
986,0.2958,5.0075
987,0.2961,4.987
988,0.2964,4.9848
989,0.2967,4.9982
990,0.297,5.008
991,0.2973,4.9801
992,0.2976,4.9821
993,0.2979,4.9839
994,0.2982,4.9888
995,0.2985,4.9692
996,0.2988,5.0079
997,0.2991,4.9794
998,0.2994,4.9967
999,0.2997,4.971
