n,t_seconds,measured_value
337,0.0337,2.4381
338,0.0338,2.473
339,0.0339,2.4847
340,0.034,2.4708
341,0.0341,2.4803
342,0.0342,2.5063
343,0.0343,2.4791
344,0.0344,2.4782
345,0.0345,2.4718
346,0.0346,2.4978
347,0.0347,2.5243
348,0.0348,2.5215
349,0.0349,2.498
350,0.035,2.5042
351,0.0351,2.5145
352,0.0352,2.5314
353,0.0353,2.5288
354,0.0354,2.5401
355,0.0355,2.5462
356,0.0356,2.5422
357,0.0357,2.551
358,0.0358,2.5596
359,0.0359,2.5601
360,0.036,2.5738
361,0.0361,2.5992
362,0.0362,2.5848
363,0.0363,2.5816
364,0.0364,2.5603
365,0.0365,2.5963
366,0.0366,2.5661
367,0.0367,2.5789
368,0.0368,2.6177
369,0.0369,2.6202
370,0.037,2.6122
371,0.0371,2.5935
372,0.0372,2.6184
373,0.0373,2.6185
374,0.0374,2.643
375,0.0375,2.672
376,0.0376,2.6461
377,0.0377,2.6359
378,0.0378,2.6347
379,0.0379,2.6561
380,0.038,2.659
381,0.0381,2.6491
382,0.0382,2.6727
383,0.0383,2.6584
384,0.0384,2.697
385,0.0385,2.7009
386,0.0386,2.7058
387,0.0387,2.6871
388,0.0388,2.7065
389,0.0389,2.7014
390,0.039,2.7021
391,0.0391,2.7075
392,0.0392,2.6976
393,0.0393,2.7
394,0.0394,2.7381
395,0.0395,2.7279
396,0.0396,2.7386
397,0.0397,2.7549
398,0.0398,2.7184
399,0.0399,2.7371
400,0.04,2.756
401,0.0401,2.7637
402,0.0402,2.7567
403,0.0403,2.7822
404,0.0404,2.7744
405,0.0405,2.7575
406,0.0406,2.7662
407,0.0407,2.7967
408,0.0408,2.796
409,0.0409,2.7649
410,0.041,2.8181
411,0.0411,2.8112
412,0.0412,2.8268
413,0.0413,2.8053
414,0.0414,2.811
415,0.0415,2.8029
416,0.0416,2.8622
417,0.0417,2.8258
418,0.0418,2.8566
419,0.0419,2.8274
420,0.042,2.8439
421,0.0421,2.8207
422,0.0422,2.8443
423,0.0423,2.8691
424,0.0424,2.8399
425,0.0425,2.879
426,0.0426,2.8723
427,0.0427,2.8558
428,0.0428,2.8682
429,0.0429,2.8731
430,0.043,2.8834
431,0.0431,2.8804
432,0.0432,2.8802
433,0.0433,2.8923
434,0.0434,2.8856
435,0.0435,2.8859
436,0.0436,2.9087
437,0.0437,2.9268
438,0.0438,2.8948
439,0.0439,2.922
440,0.044,2.9163
441,0.0441,2.9156
442,0.0442,2.9472
443,0.0443,2.9307
444,0.0444,2.9651
445,0.0445,2.935
446,0.0446,2.9566
447,0.0447,2.9515
448,0.0448,2.9477
449,0.0449,2.9719
450,0.045,2.9648
451,0.0451,2.9803
452,0.0452,2.9746
453,0.0453,2.963
454,0.0454,2.9818
455,0.0455,2.9882
456,0.0456,3.0058
457,0.0457,2.9818
458,0.0458,2.9988
459,0.0459,2.9776
460,0.046,3.0172
461,0.0461,2.9952
462,0.0462,2.9883
463,0.0463,3.0184
464,0.0464,3.0399
465,0.0465,3.0044
466,0.0466,3.0149
467,0.0467,3.024
468,0.0468,3.0221
469,0.0469,3.0486
470,0.047,3.0348
471,0.0471,3.0399
472,0.0472,3.0634
473,0.0473,3.0472
474,0.0474,3.0689
475,0.0475,3.0517
476,0.0476,3.052
477,0.0477,3.0465
478,0.0478,3.1058
479,0.0479,3.0769
480,0.048,3.0892
481,0.0481,3.0889
482,0.0482,3.0956
483,0.0483,3.0977
484,0.0484,3.1294
485,0.0485,3.089
486,0.0486,3.085
487,0.0487,3.097
488,0.0488,3.0959
489,0.0489,3.1309
490,0.049,3.1358
491,0.0491,3.1128
492,0.0492,3.1101
493,0.0493,3.1293
494,0.0494,3.1593
495,0.0495,3.0998
496,0.0496,3.1537
497,0.0497,3.1334
498,0.0498,3.1688
499,0.0499,3.1408
500,0.05,3.1563
501,0.0501,3.1417
502,0.0502,3.1533
503,0.0503,3.1924
504,0.0504,3.1876
505,0.0505,3.1729
506,0.0506,3.1695
507,0.0507,3.1578
508,0.0508,3.1839
509,0.0509,3.193
510,0.051,3.1958
511,0.0511,3.1992
512,0.0512,3.1874
513,0.0513,3.2068
514,0.0514,3.2108
515,0.0515,3.2343
516,0.0516,3.2465
517,0.0517,3.22
518,0.0518,3.2141
519,0.0519,3.2282
520,0.052,3.2236
521,0.0521,3.2251
522,0.0522,3.2389
523,0.0523,3.2276
524,0.0524,3.2559
525,0.0525,3.2488
526,0.0526,3.2576
527,0.0527,3.2546
528,0.0528,3.2499
529,0.0529,3.25
530,0.053,3.2642
531,0.0531,3.263
532,0.0532,3.2781
533,0.0533,3.278
534,0.0534,3.2611
535,0.0535,3.286
536,0.0536,3.2682
537,0.0537,3.2826
538,0.0538,3.2908
539,0.0539,3.2675
540,0.054,3.3034
541,0.0541,3.3077
542,0.0542,3.3064
543,0.0543,3.3058
544,0.0544,3.3099
545,0.0545,3.3043
546,0.0546,3.3182
547,0.0547,3.3173
548,0.0548,3.3303
549,0.0549,3.3143
550,0.055,3.3392
551,0.0551,3.3411
552,0.0552,3.3402
553,0.0553,3.339
554,0.0554,3.3572
555,0.0555,3.3272
556,0.0556,3.3624
557,0.0557,3.3624
558,0.0558,3.3663
559,0.0559,3.3711
560,0.056,3.3588
561,0.0561,3.368
562,0.0562,3.3847
563,0.0563,3.3848
564,0.0564,3.3847
565,0.0565,3.3621
566,0.0566,3.3961
567,0.0567,3.4088
568,0.0568,3.4096
569,0.0569,3.4012
570,0.057,3.3775
571,0.0571,3.4182
572,0.0572,3.4051
573,0.0573,3.3725
574,0.0574,3.4193
575,0.0575,3.3944
576,0.0576,3.4005
577,0.0577,3.4136
578,0.0578,3.4454
579,0.0579,3.4239
580,0.058,3.4366
581,0.0581,3.4619
582,0.0582,3.4627
583,0.0583,3.4404
584,0.0584,3.4414
585,0.0585,3.4293
586,0.0586,3.4408
587,0.0587,3.4607
588,0.0588,3.4634
589,0.0589,3.4622
590,0.059,3.4785
591,0.0591,3.4551
592,0.0592,3.4689
593,0.0593,3.4838
594,0.0594,3.4846
595,0.0595,3.495
596,0.0596,3.4879
597,0.0597,3.4803
598,0.0598,3.4934
599,0.0599,3.476
600,0.06,3.4694
601,0.0601,3.5057
602,0.0602,3.4992
603,0.0603,3.5077
604,0.0604,3.4806
605,0.0605,3.5035
606,0.0606,3.503
607,0.0607,3.502
608,0.0608,3.4841
609,0.0609,3.5159
610,0.061,3.5373
611,0.0611,3.5325
612,0.0612,3.5207
613,0.0613,3.5325
614,0.0614,3.547
615,0.0615,3.4971
616,0.0616,3.5396
617,0.0617,3.5525
618,0.0618,3.5575
619,0.0619,3.5757
620,0.062,3.5701
621,0.0621,3.5607
622,0.0622,3.5634
623,0.0623,3.5735
624,0.0624,3.5565
625,0.0625,3.5669
626,0.0626,3.5839
627,0.0627,3.6026
628,0.0628,3.5737
629,0.0629,3.5782
630,0.063,3.5847
631,0.0631,3.6047
632,0.0632,3.5869
633,0.0633,3.6123
634,0.0634,3.5785
635,0.0635,3.5931
636,0.0636,3.5957
637,0.0637,3.6132
638,0.0638,3.6199
639,0.0639,3.5844
640,0.064,3.5961
641,0.0641,3.6176
642,0.0642,3.6055
643,0.0643,3.5953
644,0.0644,3.6365
645,0.0645,3.6311
646,0.0646,3.6338
647,0.0647,3.622
648,0.0648,3.6473
649,0.0649,3.631
650,0.065,3.6538
651,0.0651,3.6264
652,0.0652,3.63
653,0.0653,3.6486
654,0.0654,3.6377
655,0.0655,3.661
656,0.0656,3.6575
657,0.0657,3.6424
658,0.0658,3.6601
659,0.0659,3.6564
660,0.066,3.6781
661,0.0661,3.6575
662,0.0662,3.6631
663,0.0663,3.6905
664,0.0664,3.7085
665,0.0665,3.7076
666,0.0666,3.6812
667,0.0667,3.6862
668,0.0668,3.7085
669,0.0669,3.6863
670,0.067,3.6761
671,0.0671,3.6951
672,0.0672,3.7028
673,0.0673,3.6862
674,0.0674,3.6765
675,0.0675,3.6822
676,0.0676,3.7164
677,0.0677,3.6976
678,0.0678,3.7094
679,0.0679,3.7173
680,0.068,3.726
681,0.0681,3.7142
682,0.0682,3.7293
683,0.0683,3.711
684,0.0684,3.7215
685,0.0685,3.7141
686,0.0686,3.749
687,0.0687,3.7341
688,0.0688,3.726
689,0.0689,3.7343
690,0.069,3.7388
691,0.0691,3.7551
692,0.0692,3.7232
693,0.0693,3.7341
694,0.0694,3.7465
695,0.0695,3.7926
696,0.0696,3.7714
697,0.0697,3.7579
698,0.0698,3.7728
699,0.0699,3.7954
700,0.07,3.7635
701,0.0701,3.764
702,0.0702,3.7901
703,0.0703,3.7818
704,0.0704,3.7869
705,0.0705,3.7717
706,0.0706,3.8106
707,0.0707,3.8098
708,0.0708,3.7951
709,0.0709,3.7993
710,0.071,3.761
711,0.0711,3.8034
712,0.0712,3.7933
713,0.0713,3.8052
714,0.0714,3.8113
715,0.0715,3.7983
716,0.0716,3.7805
717,0.0717,3.8138
718,0.0718,3.7995
719,0.0719,3.808
720,0.072,3.8063
721,0.0721,3.8126
722,0.0722,3.7854
723,0.0723,3.8407
724,0.0724,3.8286
725,0.0725,3.8438
726,0.0726,3.8592
727,0.0727,3.8322
728,0.0728,3.8071
729,0.0729,3.8231
730,0.073,3.8207
731,0.0731,3.8336
732,0.0732,3.8446
733,0.0733,3.8157
734,0.0734,3.8532
735,0.0735,3.8277
736,0.0736,3.8571
737,0.0737,3.8533
738,0.0738,3.8525
739,0.0739,3.8584
740,0.074,3.8537
741,0.0741,3.8549
742,0.0742,3.8411
743,0.0743,3.8682
744,0.0744,3.8986
745,0.0745,3.9028
746,0.0746,3.8952
747,0.0747,3.8882
748,0.0748,3.8697
749,0.0749,3.9038
750,0.075,3.8835
751,0.0751,3.8855
752,0.0752,3.8844
753,0.0753,3.8924
754,0.0754,3.8867
755,0.0755,3.8942
756,0.0756,3.8814
757,0.0757,3.8943
758,0.0758,3.9363
759,0.0759,3.9032
760,0.076,3.9029
761,0.0761,3.9166
762,0.0762,3.9214
763,0.0763,3.8963
764,0.0764,3.912
765,0.0765,3.9311
766,0.0766,3.9235
767,0.0767,3.9235
768,0.0768,3.9471
769,0.0769,3.9158
770,0.077,3.9293
771,0.0771,3.9224
772,0.0772,3.9547
773,0.0773,3.9052
774,0.0774,3.9266
775,0.0775,3.9308
776,0.0776,3.9508
777,0.0777,3.9521
778,0.0778,3.966
779,0.0779,3.9236
780,0.078,3.9606
781,0.0781,3.947
782,0.0782,3.9435
783,0.0783,3.9637
784,0.0784,3.9439
785,0.0785,3.9286
786,0.0786,3.9563
787,0.0787,3.9415
788,0.0788,3.9563
789,0.0789,3.9736
790,0.079,3.9748
791,0.0791,3.996
792,0.0792,3.9712
793,0.0793,3.9533
794,0.0794,3.967
795,0.0795,3.9666
796,0.0796,3.9641
797,0.0797,3.991
798,0.0798,3.9768
799,0.0799,3.9588
800,0.08,4.001
801,0.0801,3.9909
802,0.0802,3.9999
803,0.0803,3.9981
804,0.0804,4.008
805,0.0805,4.0011
806,0.0806,4.0211
807,0.0807,4.0109
808,0.0808,4.0124
809,0.0809,4.0147
810,0.081,3.9887
811,0.0811,4.01
812,0.0812,4.0106
813,0.0813,4.0195
814,0.0814,3.998
815,0.0815,4.0449
816,0.0816,4.0239
817,0.0817,4.0061
818,0.0818,4.0006
819,0.0819,4.0239
820,0.082,4.0288
821,0.0821,4.0213
822,0.0822,4.0354
823,0.0823,4.0263
824,0.0824,4.0461
825,0.0825,4.0289
826,0.0826,4.0411
827,0.0827,4.0583
828,0.0828,4.0841
829,0.0829,4.0323
830,0.083,4.0423
831,0.0831,4.0386
832,0.0832,4.0649
833,0.0833,4.0378
834,0.0834,4.0496
835,0.0835,4.0583
836,0.0836,4.046
837,0.0837,4.0482
838,0.0838,4.0573
839,0.0839,4.0348
840,0.084,4.0464
841,0.0841,4.0638
842,0.0842,4.0741
843,0.0843,4.0709
844,0.0844,4.0489
845,0.0845,4.0704
846,0.0846,4.0912
847,0.0847,4.0894
848,0.0848,4.0817
849,0.0849,4.0714
850,0.085,4.0961
851,0.0851,4.0797
852,0.0852,4.0727
853,0.0853,4.08
854,0.0854,4.1156
855,0.0855,4.099
856,0.0856,4.1149
857,0.0857,4.0921
858,0.0858,4.1152
859,0.0859,4.0939
860,0.086,4.1023
861,0.0861,4.1438
862,0.0862,4.1198
863,0.0863,4.1025
864,0.0864,4.1105
865,0.0865,4.1185
866,0.0866,4.1335
867,0.0867,4.1098
868,0.0868,4.0928
869,0.0869,4.1164
870,0.087,4.1226
871,0.0871,4.1258
872,0.0872,4.1457
873,0.0873,4.1324
874,0.0874,4.1416
875,0.0875,4.1146
876,0.0876,4.1459
877,0.0877,4.166
878,0.0878,4.1479
879,0.0879,4.1419
880,0.088,4.1421
881,0.0881,4.1683
882,0.0882,4.1293
883,0.0883,4.1433
884,0.0884,4.1535
885,0.0885,4.1595
886,0.0886,4.1435
887,0.0887,4.1563
888,0.0888,4.1493
889,0.0889,4.1569
890,0.089,4.1548
891,0.0891,4.1414
892,0.0892,4.1599
893,0.0893,4.175
894,0.0894,4.149
895,0.0895,4.1616
896,0.0896,4.1768
897,0.0897,4.1525
898,0.0898,4.1729
899,0.0899,4.1559
900,0.09,4.1905
901,0.0901,4.2098
902,0.0902,4.2071
903,0.0903,4.1752
904,0.0904,4.1912
905,0.0905,4.1835
906,0.0906,4.1849
907,0.0907,4.2082
908,0.0908,4.1668
909,0.0909,4.2041
910,0.091,4.1891
911,0.0911,4.2126
912,0.0912,4.1959
913,0.0913,4.1846
914,0.0914,4.2005
915,0.0915,4.209
916,0.0916,4.2001
917,0.0917,4.2085
918,0.0918,4.1949
919,0.0919,4.1723
920,0.092,4.2194
921,0.0921,4.218
922,0.0922,4.2113
923,0.0923,4.2117
924,0.0924,4.2278
925,0.0925,4.207
926,0.0926,4.2048
927,0.0927,4.2141
928,0.0928,4.2364
929,0.0929,4.1993
930,0.093,4.2395
931,0.0931,4.2136
932,0.0932,4.2082
933,0.0933,4.2452
934,0.0934,4.2264
935,0.0935,4.2099
936,0.0936,4.2255
937,0.0937,4.2464
938,0.0938,4.2519
939,0.0939,4.2291
940,0.094,4.2431
941,0.0941,4.2493
942,0.0942,4.2304
943,0.0943,4.2469
944,0.0944,4.2427
945,0.0945,4.2366
946,0.0946,4.2388
947,0.0947,4.2487
948,0.0948,4.2496
949,0.0949,4.2422
950,0.095,4.2458
951,0.0951,4.2704
952,0.0952,4.2583
953,0.0953,4.2699
954,0.0954,4.2761
955,0.0955,4.2684
956,0.0956,4.2951
957,0.0957,4.2502
958,0.0958,4.2762
959,0.0959,4.2607
960,0.096,4.2948
961,0.0961,4.2939
962,0.0962,4.2406
963,0.0963,4.2568
964,0.0964,4.2828
965,0.0965,4.2861
966,0.0966,4.2868
967,0.0967,4.2761
968,0.0968,4.2854
969,0.0969,4.2898
970,0.097,4.2803
971,0.0971,4.2983
972,0.0972,4.2505
973,0.0973,4.2953
974,0.0974,4.2717
975,0.0975,4.303
976,0.0976,4.2866
977,0.0977,4.2781
978,0.0978,4.2985
979,0.0979,4.2806
980,0.098,4.282
981,0.0981,4.2736
982,0.0982,4.2981
983,0.0983,4.3074
984,0.0984,4.3167
985,0.0985,4.3006
986,0.0986,4.3198
987,0.0987,4.3058
988,0.0988,4.3055
989,0.0989,4.3169
990,0.099,4.3255
991,0.0991,4.3059
992,0.0992,4.3088
993,0.0993,4.3114
994,0.0994,4.3164
995,0.0995,4.303
996,0.0996,4.3333
997,0.0997,4.3132
998,0.0998,4.3275
999,0.0999,4.3096
1000,0.1,4.3287
1001,0.1001,4.3305
1002,0.1002,4.3197
1003,0.1003,4.3577
1004,0.1004,4.3343
1005,0.1005,4.3567
1006,0.1006,4.3458
1007,0.1007,4.3228
1008,0.1008,4.3283
1009,0.1009,4.3419
1010,0.101,4.3376
1011,0.1011,4.3388
1012,0.1012,4.3351
1013,0.1013,4.3136
1014,0.1014,4.3386
1015,0.1015,4.3101
1016,0.1016,4.3502
1017,0.1017,4.3351
1018,0.1018,4.3365
1019,0.1019,4.3453
1020,0.102,4.3539
1021,0.1021,4.3297
1022,0.1022,4.3262
1023,0.1023,4.3378
1024,0.1024,4.3244
1025,0.1025,4.3418
1026,0.1026,4.3815
1027,0.1027,4.343
1028,0.1028,4.3699
1029,0.1029,4.3409
1030,0.103,4.3672
1031,0.1031,4.3592
1032,0.1032,4.3644
1033,0.1033,4.3751
1034,0.1034,4.3942
1035,0.1035,4.372
1036,0.1036,4.3722
1037,0.1037,4.357
1038,0.1038,4.3816
1039,0.1039,4.3704
1040,0.104,4.3878
1041,0.1041,4.3759
1042,0.1042,4.404
1043,0.1043,4.3493
1044,0.1044,4.3759
1045,0.1045,4.3948
1046,0.1046,4.3775
1047,0.1047,4.3722
1048,0.1048,4.3813
1049,0.1049,4.3658
1050,0.105,4.3895
1051,0.1051,4.4255
1052,0.1052,4.4073
1053,0.1053,4.3747
1054,0.1054,4.3795
1055,0.1055,4.3877
1056,0.1056,4.4101
1057,0.1057,4.3839
1058,0.1058,4.3871
1059,0.1059,4.4119
1060,0.106,4.4128
1061,0.1061,4.3954
1062,0.1062,4.3855
1063,0.1063,4.3802
1064,0.1064,4.3941
1065,0.1065,4.3724
1066,0.1066,4.4182
1067,0.1067,4.3987
1068,0.1068,4.4166
1069,0.1069,4.4386
1070,0.107,4.4293
1071,0.1071,4.3956
1072,0.1072,4.4271
1073,0.1073,4.4326
1074,0.1074,4.4052
1075,0.1075,4.4033
1076,0.1076,4.4171
1077,0.1077,4.3959
1078,0.1078,4.4431
1079,0.1079,4.3861
1080,0.108,4.4068
1081,0.1081,4.4205
1082,0.1082,4.4223
1083,0.1083,4.4293
1084,0.1084,4.432
1085,0.1085,4.4259
1086,0.1086,4.4473
1087,0.1087,4.3993
1088,0.1088,4.4325
1089,0.1089,4.4229
1090,0.109,4.4368
1091,0.1091,4.4392
1092,0.1092,4.4234
1093,0.1093,4.4286
1094,0.1094,4.4512
1095,0.1095,4.4457
1096,0.1096,4.4313
1097,0.1097,4.4732
1098,0.1098,4.4784
1099,0.1099,4.4229
1100,0.11,4.4505
1101,0.1101,4.4847
1102,0.1102,4.46
1103,0.1103,4.4526
1104,0.1104,4.4473
1105,0.1105,4.4434
1106,0.1106,4.4494
1107,0.1107,4.4454
1108,0.1108,4.466
1109,0.1109,4.4499
1110,0.111,4.4503
1111,0.1111,4.44
1112,0.1112,4.4584
1113,0.1113,4.4468
1114,0.1114,4.4586
1115,0.1115,4.478
1116,0.1116,4.4689
1117,0.1117,4.4721
1118,0.1118,4.4709
1119,0.1119,4.4675
1120,0.112,4.4658
1121,0.1121,4.4642
1122,0.1122,4.4812
1123,0.1123,4.4546
1124,0.1124,4.4921
1125,0.1125,4.4735
1126,0.1126,4.4628
1127,0.1127,4.4678
1128,0.1128,4.466
1129,0.1129,4.4796
1130,0.113,4.4675
1131,0.1131,4.4964
1132,0.1132,4.4686
1133,0.1133,4.4473
1134,0.1134,4.4714
1135,0.1135,4.4533
1136,0.1136,4.4839
1137,0.1137,4.5014
1138,0.1138,4.4962
1139,0.1139,4.4675
1140,0.114,4.4771
1141,0.1141,4.5163
1142,0.1142,4.4954
1143,0.1143,4.4917
1144,0.1144,4.5085
1145,0.1145,4.5305
1146,0.1146,4.5141
1147,0.1147,4.4978
1148,0.1148,4.502
1149,0.1149,4.507
1150,0.115,4.4895
1151,0.1151,4.4838
1152,0.1152,4.5015
1153,0.1153,4.4875
1154,0.1154,4.5018
1155,0.1155,4.5051
1156,0.1156,4.5398
1157,0.1157,4.4929
1158,0.1158,4.5048
1159,0.1159,4.5052
1160,0.116,4.5152
1161,0.1161,4.5253
1162,0.1162,4.5032
1163,0.1163,4.4993
1164,0.1164,4.4879
1165,0.1165,4.4996
1166,0.1166,4.5225
1167,0.1167,4.5161
1168,0.1168,4.5012
